ARTICULO;PROVEEDOR;DESCRIPCION;AÑASCO;MDP;ROS;COR;NEU
76095X23.4XS;GATES;CO DIST 76095x23.4XS/5577XS/T1577 RENAULT;-1;0;-1;0;0
AP7560;AUTOPARTES PAULUCCI;ACOPLE Universal ACT HIDR Ford Fiesta/Ka/Focus/EcoSport 96 en adelante;-1;0;-1;0;0
FAK-008;PHC VALEO;KIT EMBRAGUE PDR Fiat 500/Doblo 200x20;-1;-1;0;0;0
40139;PHC VALEO;CILINDRO MAESTRO FORD ECOSPORT 03+1.6 8V ZETEC ROCAM (reemp x PMC2033);-1;0;0;0;0
40148;PHC VALEO;CILINDRO ESCLAVO VW BORA/FOX/GOLF/SURAN/VOYAGE (reemp x PRC4004);-1;0;0;0;0
40196;PHC VALEO;CILINDRO MAESTRO FORD RANGER 2.5 MAXION/2.8 P STROK/3.0 TDI;-1;0;0;0;0
581108;INA FAG;Z-581108.16.RDL-G1#S16 / F-554177.RDL-G1#S14;-1;0;0;0;0
415002110;LUK;VOLANTE BIMASA BMW 324/524 (8 agujeros);-1;0;0;0;0
415037310;LUK;VOLANTE BIMASA CHEVROLET S10 2.8 MWM ex-415012410;-1;0;0;0;0
500017211;LUK;CRAPODINA VW GOL/SENDA/SAVEIRO F-210152.AL-AM#S14;-1;0;0;0;0
510006511;LUK;CRAP HID FORD FIESTAR/KA/ECOSPORT C/ADAPTADOR;-1;0;0;0;0
510007410;LUK;ACT HID. FIAT PALIO SIENA GRAND SIENA 1.6 16V E.torQ CON ACOPLES .7419;-1;0;0;0;0
530033530;INA FAG;KIT DISTRI + BBA AGUA CITROEN PEUGEOT 1,4 TU3JP;-1;0;0;0;0
532023920;INA FAG;POLEA DISTRIBUCION DUCATO/BOXER 2.5/2.8;-1;0;0;0;0
620302700;LUK;KIT EMBRAGUE PDR GM CORSA / CLASIC / II / COMBO 1.6 8v 16v(620217500);-1;0;0;0;0
624318233;LUK;MB SPRINTER 2.2 CDI MOT OM611 DESDE 01-2002 ( CON ACTUADOR );-1;0;0;0;0
3000000811;SACHS EMBRAGUES;KIT EMBRAGUE 6081 PDR CITROEN/PEUGEOT C3/C4/207/307 200X18;-1;0;0;0;0
3000951508;SACHS EMBRAGUES;KIT EMBRAGUE PDR FIAT Punto 1.3 JTD Multijet 90cv;-1;0;0;0;0
3000951561;SACHS EMBRAGUES;KIT EMBRAGUE PDR CITROEN-PEUGEOT 1.6HDI 230X18 (fundicion baja);-1;0;0;0;0
05P1236;LPR;P FRE TRA MAZDA 5- FOCUS;-1;0;0;0;0
05P1239;LPR;P FRE DEL AUDI A4 II-III / A6 III / A8 I 03/;-1;0;0;0;0
10X1015-9;GATES;7402 / 7400;-1;0;0;0;0
10X705-9;GATES;7277;-1;0;0;0;0
10X805-9;GATES;7317;-1;0;0;0;0
10X825-9;GATES;7325 / 6213;-1;0;0;0;0
10X910-4;GATES;7356 / 7358 / 6272;-1;0;0;0;0
10X925-9;GATES;7364 / 6217 / 7360XL / 7365;-1;0;0;0;0
13X1055-9;GATES;9415;-1;0;0;0;0
13X1265-9;GATES;9499;-1;0;0;0;0
13X1375-9;GATES;9541 / 6485;-1;0;0;0;0
13X1395-9;GATES;9550;-1;0;0;0;0
1410XS;SPICER;CRUCETA IVECO DAILY 70C16 / SPRINTER /F-250;-1;0;0;0;0
315-232;SACHS AMORTIGUADORES;AMORT DD PEUGEOT 308 / 408 11->;-1;0;0;0;0
316-271;SACHS AMORTIGUADORES;AMORT T VW GOL 95-> / GOL TREND;-1;0;0;0;0
316-275;SACHS AMORTIGUADORES;AMORT DD GMC CORSA II - MERIVA 02->;-1;0;0;0;0
316-276;SACHS AMORTIGUADORES;AMORT DI GMC CORSA II - MERIVA 02->;-1;0;0;0;0
318-907;SACHS AMORTIGUADORES;AMORT DD Nissan Kicks 03/17->;-1;0;0;0;0
358112961T;HELLA ;ESCOBILLA LIMP.TRASERA 12´;-1;0;0;0;0
40116X25.4XS;GATES;CO DIST 40116X25.4XS/5606XS/T1603;-1;0;0;0;0
41120X19;GATES;CO DIST 41120X3/4/5115/T064;-1;0;0;0;0
4PK1300-4;GATES;K040512 / 4PK1301;-1;0;0;0;0
4PK1400-4;GATES;K040551;-1;0;0;0;0
4PK700-4;GATES;K040275 / 4PK703 / 4PK702;-1;0;0;0;0
4PK760-4;GATES;K040300;-1;0;0;0;0
4PK860-4;GATES;K040340 / K040339 / 4PK860;-1;0;0;0;0
4PK885-9;GATES;K040350 / K040348 / 4PK885;-1;0;0;0;0
4PK945-9;GATES;4PK945 / K040372 / 4PK948;-1;0;0;0;0
5PK1030-4;GATES;K050405 / 5PK1032 CHEVROLET Onix/Prisma 1.4;-1;0;0;0;0
5PK1160-4;GATES;5PK1163;-1;0;0;0;0
5PK1445-9;GATES;K050570;-1;0;0;0;0
5PK1510-4;GATES;K050596 / 5PK1510 / 5PK1515;-1;0;0;0;0
5PK1540-4;GATES;5PK1540;-1;0;0;0;0
5PK1545-9;GATES;K050609 / 5PK1545;-1;0;0;0;0
5PK705-9;GATES;5PK708;-1;0;0;0;0
5PK905-9;GATES;5PK908;-1;0;0;0;0
5PK935-9;GATES;K050368 / 5PK935;-1;0;0;0;0
63123X19XS;GATES;CO DIST 63123x19XS/5254XS/T124;-1;0;0;0;0
6PK1130-4;GATES;K060445 / 6K1130 / 6PK1130;-1;0;0;0;0
6PK1165-9;GATES;K060460 / K060459;-1;0;0;0;0
6PK1200-4;GATES;K060473/K060474/6PK1203 RENAULT Megane/Duster 1.6 16v;-1;0;0;0;0
6PK1370-4;GATES;K060539;-1;0;0;0;0
6PK1735-9;GATES;K060683 / 6PK1735;-1;0;0;0;0
6PK2100-4;GATES;K060827 / 6PK2100;-1;0;0;0;0
6PK2120-4;GATES;K060836 / K060835 / K060834;-1;0;0;0;0
6PK2225-9;GATES;K060876 / 6PK2228;-1;0;0;0;0
6PK905-9;GATES;6PK905;-1;0;0;0;0
76070X16XS;GATES;CO DIST 76070x16XS/5235XS/T186 HONDA / ROVER;-1;0;0;0;0
76104X24XS;GATES;CO DIST 76104x24XS/5410XS/T224 HONDA;-1;0;0;0;0
76123X24XS;GATES;CO DIST 76123x24XS/5362XS/T204;-1;0;0;0;0
76123X29XS;GATES;CO DIST 76123x29XS/5373XS/T232;-1;0;0;0;0
76126X26XS;GATES;CO DIST 76126x26XS/5506XS/T247;-1;0;0;0;0
76163X25.4XS;GATES;CO DIST 76163x25.4XS/5435XS/T961DAEW. LAGUNA.MITSUB;-1;0;0;0;0
77099X19XS;GATES;CO DIST 77099x19XS/5436XS/T724 Galopper td (TDI) 2,5 98+,H100 mitsubis;-1;0;0;0;0
